dataset_id,dataset_name,Zero-shot_mean,Random_mean,best_method,t_statistic,p_value,significant,uplift_pct,n_samples
917,fri_c1_1000_25,0.9483939913297712,0.9043492287528984,Zero-shot,,,False,4.870326769406413,1
1049,pc4,0.9195496961805556,0.9035177951388887,Zero-shot,,,False,1.7743868607703988,1
1111,KDDCup09_appetency,0.8160671812189557,0.8127631160499589,Zero-shot,,,False,0.4065225283665241,1
1464,blood-transfusion-service-center,0.7324512670565302,0.7311695906432749,Zero-shot,,,False,0.17529126343009807,1
1494,qsar-biodeg,0.8911941649899395,0.877062374245473,Zero-shot,,,False,1.6112640513879073,1
1510,wdbc,0.985651455026455,0.9840376984126982,Zero-shot,,,False,0.16399337305470255,1
1558,bank-marketing,0.8602197973686738,0.8427051522135791,Zero-shot,,,False,2.07838353771637,1
4534,PhishingWebsites,0.9681292047281952,0.9648036854059252,Zero-shot,,,False,0.3446835218991551,1
23381,dresses-sales,0.598735632183908,0.5975738916256157,Zero-shot,,,False,0.19440952400580483,1
40536,SpeedDating,0.8308850414078676,0.8298435041407868,Zero-shot,,,False,0.1255100825497432,1
